epoch,step,train_loss,val_loss,val_mse
0,49,606.2235107421875,,
0,99,573.1395263671875,,
0,101,,564.2828979492188,0.9439358115196228
1,149,509.1397399902344,,
1,199,489.1751708984375,,
1,203,,515.102783203125,0.7016194462776184
2,249,487.3046875,,
2,299,457.745849609375,,
2,305,,494.350341796875,0.5994049906730652
3,349,485.781982421875,,
3,399,455.3492431640625,,
3,407,,484.9718322753906,0.5532514452934265
4,449,456.19805908203125,,
4,499,451.54052734375,,
4,509,,479.5690002441406,0.526657223701477
5,549,474.5118408203125,,
5,599,456.03076171875,,
5,611,,476.6955261230469,0.5125181674957275
6,649,487.1899719238281,,
6,699,456.2596740722656,,
6,713,,474.67010498046875,0.5025442838668823
7,749,461.60797119140625,,
7,799,764.9802856445312,,
7,815,,473.8031311035156,0.49827566742897034
8,849,449.2659912109375,,
8,899,461.71136474609375,,
8,917,,472.8467102050781,0.4935643970966339
9,949,451.09320068359375,,
9,999,473.2386169433594,,
9,1019,,472.3714904785156,0.49122026562690735
10,1049,446.4492492675781,,
10,1099,456.3306579589844,,
10,1121,,471.9726867675781,0.4892682135105133
11,1149,436.9395446777344,,
11,1199,461.18951416015625,,
11,1223,,471.4350891113281,0.4866184592247009
12,1249,447.558349609375,,
12,1299,463.1801452636719,,
12,1325,,470.9829406738281,0.4843950867652893
13,1349,648.8919677734375,,
13,1399,439.5921630859375,,
13,1427,,470.7575378417969,0.48328128457069397
14,1449,441.68951416015625,,
14,1499,676.9732666015625,,
14,1529,,470.7041320800781,0.483022004365921
15,1549,449.7763977050781,,
15,1599,428.8277893066406,,
15,1631,,470.56768798828125,0.48234492540359497
16,1649,456.0882568359375,,
16,1699,471.51336669921875,,
16,1733,,470.294189453125,0.48099902272224426
17,1749,453.4895324707031,,
17,1799,439.3402404785156,,
17,1835,,470.2578125,0.48081597685813904
18,1849,449.533203125,,
18,1899,466.61151123046875,,
18,1937,,470.0453796386719,0.47976502776145935
19,1949,441.5447998046875,,
19,1999,459.1646728515625,,
19,2039,,469.56396484375,0.4774029552936554
20,2049,478.83917236328125,,
20,2099,456.2749938964844,,
20,2141,,469.50933837890625,0.4771266579627991
21,2149,469.57135009765625,,
21,2199,428.376708984375,,
21,2243,,469.47607421875,0.4769619107246399
22,2249,462.79949951171875,,
22,2299,463.4795837402344,,
22,2345,,469.4901123046875,0.4770400822162628
23,2349,460.66107177734375,,
23,2399,467.7665710449219,,
23,2447,,469.67431640625,0.47793322801589966
24,2449,477.95172119140625,,
24,2499,438.40155029296875,,
24,2549,456.6376037597656,,
24,2549,,469.24798583984375,0.47583702206611633
25,2599,459.3701171875,,
25,2649,474.5302734375,,
25,2651,,469.42919921875,0.4767310619354248
26,2699,474.4224853515625,,
26,2749,427.33367919921875,,
26,2753,,469.1159362792969,0.4751896262168884
27,2799,461.4762878417969,,
27,2849,468.0238037109375,,
27,2855,,469.0653991699219,0.47493958473205566
28,2899,458.764892578125,,
28,2949,442.3680419921875,,
28,2957,,468.8010559082031,0.4736389219760895
29,2999,453.46856689453125,,
29,3049,444.2665710449219,,
29,3059,,468.8287353515625,0.4737676978111267
30,3099,510.83782958984375,,
30,3149,460.5002136230469,,
30,3161,,468.7392272949219,0.4733331799507141
31,3199,459.57080078125,,
31,3249,459.7436828613281,,
31,3263,,468.73651123046875,0.47331714630126953
32,3299,427.9651794433594,,
32,3349,455.250244140625,,
32,3365,,468.7209777832031,0.47323790192604065
33,3399,419.41607666015625,,
33,3449,468.5098876953125,,
33,3467,,468.4776306152344,0.47204235196113586
34,3499,437.57928466796875,,
34,3549,432.7510986328125,,
34,3569,,468.6137390136719,0.4727150797843933
35,3599,445.906494140625,,
35,3649,440.273193359375,,
35,3671,,468.5028381347656,0.47216635942459106
36,3699,453.5501403808594,,
36,3749,444.7834777832031,,
36,3773,,468.64263916015625,0.4728601574897766
37,3799,438.02410888671875,,
37,3849,466.79302978515625,,
37,3875,,468.5543518066406,0.4724171459674835
38,3899,444.225341796875,,
38,3949,455.6074523925781,,
38,3977,,468.5037841796875,0.4721727967262268
39,3999,457.294921875,,
39,4049,474.189208984375,,
39,4079,,468.34185791015625,0.47137418389320374
40,4099,463.434814453125,,
40,4149,484.2620849609375,,
40,4181,,468.49542236328125,0.4721267521381378
41,4199,464.58807373046875,,
41,4249,458.52032470703125,,
41,4283,,468.26715087890625,0.4710010886192322
42,4299,456.4978942871094,,
42,4349,421.57452392578125,,
42,4385,,468.2445068359375,0.4708915650844574
43,4399,460.8999328613281,,
43,4449,452.57501220703125,,
43,4487,,468.2833251953125,0.47108227014541626
44,4499,449.9108581542969,,
44,4549,478.4013366699219,,
44,4589,,468.4891357421875,0.47209063172340393
45,4599,457.65130615234375,,
45,4649,475.23626708984375,,
45,4691,,468.65167236328125,0.47289562225341797
46,4699,463.6488342285156,,
46,4749,442.1976013183594,,
46,4793,,468.3049011230469,0.471189945936203
47,4799,450.2408447265625,,
47,4849,461.7066650390625,,
47,4895,,468.42926025390625,0.4718000888824463
48,4899,443.44287109375,,
48,4949,436.2709655761719,,
48,4997,,468.29254150390625,0.471123605966568
49,4999,443.0841369628906,,
49,5049,684.7366943359375,,
49,5099,454.5357666015625,,
49,5099,,468.22296142578125,0.4707905352115631
50,5149,434.2845458984375,,
50,5199,452.78057861328125,,
50,5201,,468.17822265625,0.4705606997013092
51,5249,441.3842468261719,,
51,5299,674.462890625,,
51,5303,,468.21160888671875,0.4707241654396057
52,5349,458.96099853515625,,
52,5399,535.6657104492188,,
52,5405,,468.6802978515625,0.47303205728530884
53,5449,453.6119079589844,,
53,5499,443.5517883300781,,
53,5507,,468.1220703125,0.470285564661026
54,5549,465.20806884765625,,
54,5599,453.1039123535156,,
54,5609,,468.21868896484375,0.47076597809791565
55,5649,464.59912109375,,
55,5699,446.5977783203125,,
55,5711,,468.1277770996094,0.4703165590763092
56,5749,465.26873779296875,,
56,5799,462.13427734375,,
56,5813,,467.9476318359375,0.469429075717926
57,5849,434.6787109375,,
57,5899,477.8299255371094,,
57,5915,,468.14117431640625,0.47037363052368164
58,5949,442.81109619140625,,
58,5999,447.4977722167969,,
58,6017,,468.066162109375,0.4700109660625458
59,6049,454.70892333984375,,
59,6099,457.3799743652344,,
59,6119,,468.2227783203125,0.4707789123058319
60,6149,495.3683776855469,,
60,6199,461.0597229003906,,
60,6221,,468.5488586425781,0.472396582365036
61,6249,434.32696533203125,,
61,6299,424.51934814453125,,
61,6323,,467.99371337890625,0.4696471691131592
62,6349,442.56658935546875,,
62,6399,421.0904541015625,,
62,6425,,468.3840637207031,0.47157490253448486
63,6449,457.5480041503906,,
63,6499,416.5098876953125,,
63,6527,,468.0531005859375,0.46994665265083313
64,6549,445.38702392578125,,
64,6599,456.81982421875,,
64,6629,,468.0914611816406,0.4701373875141144
65,6649,430.8426818847656,,
65,6699,447.803955078125,,
65,6731,,468.1423034667969,0.470386266708374
66,6749,446.418701171875,,
66,6799,459.11083984375,,
66,6833,,468.0170593261719,0.46976497769355774
67,6849,461.8229675292969,,
67,6899,461.4908447265625,,
67,6935,,468.150390625,0.47042012214660645
68,6949,421.0274658203125,,
68,6999,449.0003356933594,,
68,7037,,468.13128662109375,0.47032681107521057
69,7049,426.9669189453125,,
69,7099,443.9111328125,,
69,7139,,468.1040344238281,0.47018343210220337
70,7149,455.4596252441406,,
70,7199,455.530029296875,,
70,7241,,467.87896728515625,0.4690866768360138
71,7249,473.982666015625,,
71,7299,443.256103515625,,
71,7343,,467.85595703125,0.4689614176750183
